# SID Intervals for LFPO - Paris-Orly
# Available SIDs: 
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 02
LFPO,20,DORDI,AGOPA,2
LFPO,20,DORDI,ATREX,2
LFPO,20,DORDI,BUBLI,2
LFPO,20,DORDI,DIKOL,2
LFPO,20,DORDI,DORDI,2
LFPO,20,DORDI,ELCOB,2
LFPO,20,DORDI,ERIXU,2
LFPO,20,DORDI,LGL,2
LFPO,20,DORDI,MONOT,2
LFPO,20,DORDI,NURMO,2
LFPO,20,DORDI,OKASI,2
LFPO,20,DORDI,OLZOM,2
LFPO,20,DORDI,OPALE,2
LFPO,20,DORDI,PILUL,2

LFPO,20,ELCOB,AGOPA,2
LFPO,20,ELCOB,ATREX,2
LFPO,20,ELCOB,BUBLI,2
LFPO,20,ELCOB,DIKOL,2
LFPO,20,ELCOB,DORDI,2
LFPO,20,ELCOB,ELCOB,2
LFPO,20,ELCOB,ERIXU,2
LFPO,20,ELCOB,LGL,2
LFPO,20,ELCOB,MONOT,2
LFPO,20,ELCOB,NURMO,2
LFPO,20,ELCOB,OKASI,2
LFPO,20,ELCOB,OLZOM,2
LFPO,20,ELCOB,OPALE,2
LFPO,20,ELCOB,PILUL,2

LFPO,20,ERIXU,AGOPA,2
LFPO,20,ERIXU,ATREX,2
LFPO,20,ERIXU,BUBLI,2
LFPO,20,ERIXU,DIKOL,2
LFPO,20,ERIXU,DORDI,2
LFPO,20,ERIXU,ELCOB,2
LFPO,20,ERIXU,ERIXU,2
